sp500_yearly_inr = """Year,S&P_500_INR
1980,1067.39
1981,1061.72
1982,1330.08
1983,1665.49
1984,1899.39
1985,2613.78
1986,3054.14
1987,3202.42
1988,3865.58
1989,5735.68
1990,5778.50
1991,9484.85
1992,11293.34
1993,14220.54
1994,14408.24
1995,19973.64
1996,26243.00
1997,35235.22
1998,50716.79
1999,63263.75
2000,59334.28
2001,54178.84
2002,42767.08
2003,51792.30
2004,54923.31
2005,55050.03
2006,64263.17
2007,60718.34
2008,39298.23
2009,53981.99
2010,57510.05
2011,58692.19
2012,76216.13
2013,108316.24
2014,125654.67
2015,131118.75
2016,150449.38
2017,174105.48
2018,171443.47
2019,227511.53
2020,278437.47
2021,352316.03
2022,301784.70
2023,392223.12
2024,488763.45
2025,596243.05
2026,607642.17
"""
