"""Year, Rupees
1973, 7.83
1974, 8.10
1975, 8.39
1976, 8.97
1977, 8.74
1978, 8.20
1979, 8.13
1980, 7.86
1981, 8.66
1982, 9.46
1983, 10.10
1984, 11.36
1985, 12.37
1986, 12.61
1987, 12.96
1988, 13.92
1989, 16.23
1990, 17.50
1991, 22.74
1992, 25.92
1993, 30.49
1994, 31.37
1995, 32.43
1996, 35.43
1997, 36.31
1998, 41.26
1999, 43.06
2000, 44.94
2001, 47.19
2002, 48.61
2003, 46.58
2004, 45.32
2005, 44.10
2006, 45.31
2007, 41.35
2008, 43.51
2009, 48.41
2010, 45.73
2011, 46.67
2012, 53.44
2013, 58.60
2014, 61.03
2015, 64.15
2016, 67.19
2017, 65.12
2018, 68.39
2019, 70.42
2020, 74.10
2021, 73.93
2022, 77.40
2023, 82.58
2024, 83.12
"""
